Gene_ID	MA001	MA002	MA003	MA004	MA005	MA006	MA007	MA008	MA009	MA010	MA011	MA012	MA013	MH001	MH002	MH003	MH004	MH005	MH006	MH007	MH008	MH009	MH010	MH011	MH012	MH013	SA004	SA006	SA007	SA008	SA009	SA010	SA011	SA012	SH001	SH002	SH003	SH005	SH008	SH009	SH010	SH011	SH012
IHJHGAMB_01127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	6	4	11	0	0	3	0	0
IHJHGAMB_01128	0	0	1	0	0	0	0	0	0	0	0	0	0	7	22	16	16	7	0	0	0	1	3	82	0	0	0	0	0	0	0	0	0	0	29	465	348	80	0	0	108	39	1
IHJHGAMB_01129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	45	37	12	0	0	15	3	0
IHJHGAMB_01134	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	19	74	25	0	0	23	0	0
IHJHGAMB_01135	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	8	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	49	155	23	0	0	53	0	0
IHJHGAMB_01136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
IHJHGAMB_01140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	6	0	0	3	0	0
IHJHGAMB_01141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	11	0	0	0	0	0
IHJHGAMB_01142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	12	0	0	6	0	0
IHJHGAMB_01144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0
IHJHGAMB_01148	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	13	24	4	0	0	0	3	2	0	0	0	0	6	0	0	0	0	0	7	0	81	144	67	0	11	117	0	0
IHJHGAMB_01150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IHJHGAMB_01153	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	7	8	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	46	79	31	2	0	48	0	0
IHJHGAMB_01220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	21	14	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	276	275	96	0	0	203	0	1
